rule_id,category,rule_name,status,value,benchmark,message
IS_GUARD_01,Income Statement Sanity,Revenue Growth Rate Rule,PASS,11.75,-30.0% to +50%,YoY Revenue Growth is +11.75% (Benchmark: -30.0% to +50%)
IS_GUARD_02,Income Statement Sanity,Gross Profit Margin Rule,PASS,54.86,10.0% to 90.0%,"Gross Profit Margin is 54.86% (Standard range: 10.0% to 90.0%, GP must be >= 0 and <= Revenue)"
IS_GUARD_03,Income Statement Sanity,OpEx to Revenue Ratio,PASS,35.86,15.0% to 80.0%,OpEx to Revenue Ratio is 35.86% (Standard range: 15.0% to 80.0%)
IS_GUARD_04,Income Statement Sanity,Effective Tax Rate Rule,PASS,24.07,15.0% to 35.0%,Effective Tax Rate is 24.07% (Standard range: 15.0% to 35.0% of EBT)
BS_GUARD_01,Balance Sheet Sanity,Cash Buffer Rule,PASS,13.6,>= 1.0 Month,"Cash Buffer represents 13.6 months of OpEx (Min required: >= 1.0 month, Cash >= 0)"
BS_GUARD_02,Balance Sheet Sanity,Current Ratio Liquidity Check,PASS,2.42,1.00x to 3.00x,"Current Ratio is 2.42x (Standard range: 1.00x to 3.00x; <0.50x default risk, >10.00x cash hoarding)"
BS_GUARD_03,Balance Sheet Sanity,Days Sales Outstanding (DSO),PASS,52.3,30 to 90 Days,"DSO is 52.3 Days (Standard range: 30 to 90 Days, AR < Revenue)"
BS_GUARD_04,Balance Sheet Sanity,Debt-to-Equity Ratio,PASS,1.12,0.10x to 4.00x,Debt-to-Equity (Total Liabilities / Equity) is 1.12x (Standard range: 0.10x to 4.00x)
CF_GUARD_01,Cash Flow Sanity,Operating Cash Flow vs Net Income Alignment,PASS,259.92,OCF mirrors Net Income trajectory,OCF ($260) trajectory mirrors Net Income ($191).
CF_GUARD_02,Cash Flow Sanity,CapEx to Revenue Ratio,PASS,4.69,2.0% to 15.0%,CapEx to Revenue Ratio is 4.69% (Standard range: 2.0% to 15.0%)
CF_GUARD_03,Cash Flow Sanity,Dividend Payout Ratio,PASS,44.32,0.0% to 80.0%,Dividend Payout is 44.32% of Net Income (Standard range: 0.0% to 80.0%)
EQ_GUARD_01,Equity Statement Sanity,Retained Earnings Continuity Rule,PASS,290.81,Ending RE Roll-Forward Match,Ending Retained Earnings ($291) == Beg RE + Net Income - Dividends ($291)
EQ_GUARD_02,Equity Statement Sanity,Share Buyback Limits,PASS,586.48,Total Equity >= 0,Total Shareholders' Equity ($586) remains positive
NOTE_GUARD_01,Disclosures & Notes Sanity,Bad Debt Provisions vs Accounts Receivable,PASS,1.25,1.0% to 5.0%,Allowance for Doubtful Accounts is 1.25% of Gross AR (Standard range: 1.0% to 5.0%)
NOTE_GUARD_02,Disclosures & Notes Sanity,Contingent Liabilities Threshold,PASS,210.99,Exposure <= Cash Reserves,Single-risk max contingent exposure ($211) vs Cash reserves ($571) [Going Concern Risk Audit Tag: CLEAR]
NOTE_GUARD_03,Disclosures & Notes Sanity,Depreciation Schedule Match,PASS,40.4,Footnote D&A == IS D&A == CFS D&A,Footnote Depreciation ($40) ties out to IS D&A ($40) and CFS D&A ($0)
AOB_GUARD_01,AOB Target Sanity,Positive Budget Revenue Target,PASS,1519.02,AOB Revenue Target > 0,"AOB Target Revenue ($1,519) is strictly positive"
AOB_GUARD_02,AOB Target Sanity,Non-Negative Budget OpEx Target,PASS,529.65,AOB OpEx Target >= 0,AOB Target OpEx ($530) is non-negative
DRIVER_GUARD_01,Operational Driver Sanity,Positive Headcount Driver,PASS,520.0,Headcount > 0,Operational Headcount baseline (520 employees) is positive
DRIVER_GUARD_02,Operational Driver Sanity,Positive Operating Volume Driver,PASS,108000.0,Operating Volume > 0,"Operational Volume baseline (108,000 units) is positive"
